Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
4871,A,Pc,Thuram,Inter,29,29,0,29,29,0,257,257
5734,A,A,Soulè,Roma,27,20,7,27,21,6,162,162
2764,A,Pc,Martinez L.,Inter,26,34,-8,26,34,-8,279,279
4510,A,A,Leao,Milan,26,24,2,26,24,2,208,208
531,A,A,Berardi,Sassuolo,25,21,4,25,21,4,146,146
6572,A,Pc,Castro S.,Bologna,24,19,5,24,19,5,91,91
6434,A,A,Yildiz,Juventus,24,24,0,24,25,-1,131,131
2097,A,Pc,Kean,Fiorentina,22,33,-11,22,33,-11,250,250
6052,A,Pc,Hojlund,Napoli,21,24,-3,21,24,-3,173,173
2841,A,Pc,Vlahovic,Juventus,20,24,-4,20,24,-4,78,75
6226,A,Pc,Castellanos,Lazio,20,21,-1,20,21,-1,112,112
5995,A,A,De Ketelaere,Atalanta,19,22,-3,19,23,-4,72,72
6435,A,Pc,Krstovic,Atalanta,19,20,-1,19,20,-1,48,45
7023,A,Pc,Pellegrino M.,Parma,19,13,6,19,12,7,80,77
6060,A,A,Laurientè,Sassuolo,19,15,4,19,15,4,40,40
5637,A,Pc,Davis K.,Udinese,19,12,7,18,11,7,50,47
4730,A,A,Lookman,Atalanta,18,29,-11,19,30,-11,101,101
4436,A,A,Cambiaghi,Bologna,18,11,7,18,11,7,42,42
2531,A,Pc,Lukaku,Napoli,18,31,-13,18,31,-13,120,120
6675,A,Pc,Dovbyk,Roma,18,21,-3,18,21,-3,57,54
5544,A,Pc,David,Juventus,17,27,-10,17,27,-10,31,28
2061,A,Pc,Simeone,Torino,17,8,9,17,7,10,80,77
2038,A,Pc,Pinamonti,Sassuolo,17,16,1,17,16,1,74,71
5336,A,Pc,Nzola,Pisa,17,12,5,17,12,5,41,38
6314,A,Pc,Openda,Juventus,17,22,-5,17,22,-5,25,22
2137,A,Pc,Scamacca,Atalanta,16,19,-3,16,19,-3,61,61
