Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
254,D,E,Dimarco,Inter,27,19,8,26,18,8,113,113
2120,D,Dc,Bastoni,Inter,20,16,4,20,16,4,86,86
5022,D,Dc,Pavlovic,Milan,17,7,10,17,7,10,37,37
5513,D,E,Dumfries,Inter,15,20,-5,14,19,-5,88,88
5678,D,Dd;E,Holm,Bologna,14,8,6,14,8,6,26,26
5835,D,Dc,Baschirotto,Cremonese,14,8,6,14,8,6,25,25
1852,D,Ds;E,Spinazzola,Napoli,14,7,7,14,7,7,49,49
4657,D,B;Dd;E,Celik,Roma,14,7,7,14,8,6,17,22
7181,D,E,Wesley,Roma,14,14,0,14,13,1,44,44
6642,D,Dc,Coco,Torino,14,8,6,14,8,6,24,24
6832,D,E,Palestra,Cagliari,13,3,10,13,2,11,30,27
4734,D,Ds;E,Miranda J.,Bologna,12,9,3,12,9,3,14,14
2788,D,Dc,Bremer,Juventus,12,13,-1,12,13,-1,35,35
5812,D,Dd;Ds;E,Terracciano F.,Cremonese,12,2,10,12,2,10,14,17
7212,D,Ds;Dc,Heggem,Bologna,12,4,8,11,5,6,23,25
4210,D,Dc,Mina,Cagliari,11,7,4,11,7,4,20,20
6893,D,Dc,Kempf,Como,11,5,6,11,5,6,14,14
2160,D,E,Gosens,Fiorentina,11,18,-7,12,17,-5,29,29
2593,D,Ds;E,Martin,Genoa,11,10,1,11,10,1,41,41
5877,D,B;Ds;E,Carlos Augusto,Inter,11,10,1,11,11,0,23,26
5520,D,E,Cambiaso,Juventus,11,15,-4,11,14,-3,34,34
5833,D,Dc,Gila,Lazio,11,9,2,11,9,2,28,28
6989,D,Dc,Tiago Gabriel,Lecce,11,1,10,11,1,10,13,13
2724,D,Dc,Buongiorno,Napoli,11,13,-2,11,13,-2,40,40
2296,D,Dc,Mancini,Roma,11,11,0,11,11,0,40,40
4665,D,Dc,Maripan,Torino,11,7,4,11,7,4,21,21
6956,D,Dc,Solet,Udinese,11,11,0,11,11,0,37,37
5750,D,Dc,Ostigard,Genoa,11,5,6,11,5,6,36,36
697,D,E,Cuadrado,Pisa,11,7,4,11,6,5,11,11
4887,D,E,Bellanova,Atalanta,10,13,-3,10,12,-2,29,29
393,D,Dc,Luperto,Cagliari,10,7,3,10,7,3,14,14
4994,D,Dd;E,Vojvoda,Como,10,6,4,10,6,4,11,11
6867,D,Ds;E,Valle,Como,10,6,4,10,6,4,13,13
4976,D,Dd;Dc,Kalulu,Juventus,10,9,1,10,10,0,23,25
6202,D,Dc,Beukema,Napoli,10,10,0,10,10,0,14,14
6663,D,Dc,Circati,Parma,10,5,5,10,5,5,20,20
5862,D,Ds;E,Valeri,Parma,10,10,0,10,10,0,20,20
4807,D,Dc,Hermoso,Roma,10,3,7,10,3,7,17,17
4263,D,Dc,Kabasele,Udinese,10,3,7,10,3,7,14,14
4137,D,Dc,Diego Carlos,Como,10,5,5,10,5,5,27,27
4159,D,Dc,Akanji,Inter,10,9,1,10,9,1,36,36
6042,D,Dc,Lucumì,Bologna,9,8,1,9,8,1,14,14
4433,D,E,Zortea,Bologna,9,16,-7,8,15,-7,15,12
4378,D,Ds;Dc,Ranieri L.,Fiorentina,9,7,2,9,7,2,13,15
5514,D,Ds;Dc,Vasquez,Genoa,9,9,0,9,10,-1,18,21
6766,D,Ds;Dc,Kelly L.,Juventus,9,7,2,10,8,2,19,21
2188,D,Dd;Ds;E,Marusic,Lazio,9,8,1,10,9,1,24,27
4401,D,Dc,Gabbia,Milan,9,6,3,9,6,3,18,18
2816,D,Dd;E,Di Lorenzo,Napoli,9,14,-5,9,14,-5,39,39
6664,D,B;Dd;E,Delprato,Parma,9,8,1,8,9,-1,22,24
6869,D,Dc,Ramon,Como,9,4,5,9,4,5,20,20
6672,D,Dc,Idzes,Sassuolo,9,7,2,9,7,2,17,17
