Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
5841,P,Por,Svilar,Roma,20,15,5,20,15,5,91,91
4312,P,Por,Maignan,Milan,19,16,3,19,16,3,87,87
6966,P,Por,Butez,Como,16,10,6,16,10,6,41,41
2814,P,Por,Provedel,Lazio,16,12,4,16,12,4,62,62
4431,P,Por,Carnesecchi,Atalanta,15,14,1,15,14,1,58,58
133,P,Por,Skorupski,Bologna,14,10,4,14,10,4,35,35
5876,P,Por,Di Gregorio,Juventus,14,16,-2,14,16,-2,66,66
4360,P,Por,Caprile,Cagliari,13,7,6,13,7,6,36,36
2134,P,Por,Falcone,Lecce,13,6,7,13,6,7,32,32
2170,P,Por,Milinkovic-Savic V.,Napoli,13,4,9,13,4,9,47,47
4236,P,Por,Muric,Sassuolo,13,3,10,13,3,10,17,17
2521,P,Por,De Gea,Fiorentina,12,14,-2,12,14,-2,36,36
6641,P,Por,Suzuki,Parma,12,7,5,12,7,5,10,10
2861,P,Por,Semper,Pisa,12,3,9,12,3,9,19,19
4957,P,Por,Montipò,Verona,12,5,7,12,5,7,15,15
188,P,Por,Leali,Genoa,11,8,3,11,8,3,24,24
761,P,Por,Audero,Cremonese,10,5,5,10,5,5,11,11
2428,P,Por,Sommer,Inter,10,16,-6,10,16,-6,62,62
572,P,Por,Meret,Napoli,8,16,-8,8,16,-8,22,22
5320,P,Por,Paleari,Torino,7,1,6,7,1,6,19,19
6462,P,Por,Okoye,Udinese,7,6,1,7,6,1,11,11
2722,P,Por,Ravaglia F.,Bologna,5,3,2,5,3,2,1,1
5135,P,Por,Guaita,Parma,5,5,0,5,5,0,10,10
7179,P,Por,Israel,Torino,4,9,-5,4,9,-5,5,6
6842,P,Por,Sava,Udinese,4,4,0,4,4,0,1,1
2211,P,Por,Silvestri,Cremonese,4,1,3,4,1,3,1,1
7172,P,Por,Pessina Mas.,Bologna,3,1,2,3,1,2,1,1
5116,P,Por,Martinez Jo.,Inter,3,2,1,3,2,1,1,1
6662,P,Por,Corvi,Parma,3,1,2,3,1,2,8,8
4867,P,Por,Turati,Sassuolo,2,7,-5,2,7,-5,1,1
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1
4929,P,Por,Ciocci,Cagliari,1,1,0,1,1,0,1,1
3,P,Por,Radunovic,Cagliari,1,1,0,1,1,0,1,1
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1
6505,P,Por,Nava,Cremonese,1,1,0,1,1,0,1,1
6184,P,Por,Martinelli T.,Fiorentina,1,1,0,1,1,0,1,1
6991,P,Por,Siegrist,Genoa,1,1,0,1,1,0,1,1
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
218,P,Por,Perin,Juventus,1,1,0,1,1,0,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
6417,P,Por,Furlanetto,Lazio,1,1,0,1,1,0,1,1
6482,P,Por,Mandas,Lazio,1,3,-2,1,3,-2,1,1
2401,P,Por,Fruchtl,Lecce,1,1,0,1,1,0,1,1
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1
5338,P,Por,Rinaldi,Parma,1,1,0,1,1,0,1,1
2271,P,Por,Nicolas,Pisa,1,1,0,1,1,0,1,1
574,P,Por,Scuffet,Pisa,1,3,-2,1,3,-2,1,1
7169,P,Por,Zelezny,Roma,1,1,0,1,1,0,1,1
610,P,Por,Gollini,Roma,1,1,0,1,1,0,1,1
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1
6210,P,Por,Popa,Torino,1,1,0,1,1,0,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1
511,P,Por,Perilli,Verona,1,1,0,1,1,0,1,1
6125,P,Por,Vasquez D.,Roma,1,1,0,1,1,0,1,1
7185,P,Por,Nunziante,Udinese,1,1,0,1,1,0,1,1
158,P,Por,Lezzerini,Fiorentina,1,1,0,1,1,0,1,1
7236,P,Por,Toniolo,Verona,1,1,0,1,1,0,1,1
7261,P,Por,Cavlina,Como,1,1,0,1,1,0,1,1
7285,P,Por,Ferrante,Napoli,1,1,0,1,1,0,1,1
7042,P,Por,Calligaris,Inter,1,1,0,1,1,0,1,1
